               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 142,             0.02168,           0.0063279,           0.0041782,             0.96463,                   1,             0.99454,             0.78426,             0.02177,           0.0042299,           0.0023162,           0.0072082,           0.0072082,           0.0072082
                 143,             0.02489,           0.0069882,           0.0041367,             0.97443,                   1,             0.99454,              0.7951,            0.017333,           0.0039751,           0.0022959,           0.0071884,           0.0071884,           0.0071884
                 144,            0.024935,           0.0065548,           0.0038307,             0.97667,                   1,             0.99454,             0.79358,            0.017449,           0.0039261,           0.0021868,           0.0071686,           0.0071686,           0.0071686
                 145,             0.02439,           0.0072593,           0.0034634,             0.97572,                   1,             0.99454,             0.80087,            0.018776,           0.0040283,           0.0021611,           0.0071488,           0.0071488,           0.0071488
                 146,            0.024344,           0.0064929,           0.0031036,             0.97599,                   1,             0.99454,             0.79945,             0.01886,           0.0041006,           0.0021923,            0.007129,            0.007129,            0.007129
                 147,            0.024952,           0.0076301,           0.0040732,             0.98057,                   1,             0.99454,              0.7575,            0.020347,           0.0041008,            0.002304,           0.0071092,           0.0071092,           0.0071092
                 148,            0.025006,           0.0072445,           0.0040489,             0.98107,                   1,               0.995,             0.78486,            0.019861,           0.0040708,           0.0022913,           0.0070894,           0.0070894,           0.0070894
                 149,            0.026501,           0.0075179,            0.003959,             0.98223,                   1,               0.995,             0.80429,            0.016243,            0.003982,           0.0022832,           0.0070696,           0.0070696,           0.0070696
                 150,            0.024659,           0.0066303,           0.0038291,             0.98092,                   1,               0.995,             0.79353,            0.019076,           0.0040193,           0.0022259,           0.0070498,           0.0070498,           0.0070498
                 151,            0.024002,           0.0069002,           0.0034773,             0.98036,                   1,               0.995,             0.75848,             0.02081,           0.0040944,           0.0021512,             0.00703,             0.00703,             0.00703
                 152,            0.024973,           0.0068803,           0.0034616,             0.98684,             0.99955,               0.995,             0.77597,             0.01983,           0.0040103,           0.0020731,           0.0070102,           0.0070102,           0.0070102
                 153,            0.025887,           0.0069038,           0.0032539,             0.97351,                   1,               0.995,             0.75051,            0.019994,           0.0039898,            0.001988,           0.0069904,           0.0069904,           0.0069904
